Periodo,Ano,Mes,PENET,VOL1,VOL1_0,UNCORRBY,UNCORROC,UNCORROC_raw,HHOLDS,HHOLDS_raw,BUYERS,BUYERS_raw,FREQ,FREQ_raw,OCCAS,VAL_LC,TRANS,PMU,PENET_raw
202201,2022,1,0.703,198807519.64,195623455,771289,1605945,1603,1105513,1009,777175.639,737,2.1000197093,2.1750339213,1632084.15948,20658974.2812,1653,10.1702569199,0.7304261645
202202,2022,2,0.688,189053000.66,184361219,752455,1596514,1601,1105575,1009,760635.6,728,2.152336087,2.1991758242,1637143.45095,19619108.731,1644,9.5111216198,0.721506442
202203,2022,3,0.686,195414475,195414475,758254,1759210,1757,1105537,1009,758398.382,745,2.3196383876,2.3583892617,1759210,21236424.45,1818,9.8134322713,0.7383548067
202204,2022,4,0.698,204347884,204347884,775546,1654681,1651,1110534,1009,775152.732,751,2.1346515747,2.1984021305,1654681,22178586.21,1729,10.8699324335,0.7443012884
202205,2022,5,0.772,205019645,205019645,857421,1767758,1770,1110588,1009,857373.936,842,2.0618284809,2.1021377672,1767758,23256214.63,1834,10.8459161138,0.8344895937
202206,2022,6,0.761,206219048.1,209689779,851795,1596416,1559,1110615,1009,845178.015,825,1.8575879969,1.8896969697,1569992.53593,23423111.8096,1634,11.9116323777,0.8176412289
202207,2022,7,0.73,208790166,208790166,814241,1666141,1631,1115615,1009,814398.95,782,2.0458535709,2.0856777494,1666141,23357852.5,1695,10.2547424862,0.775024777
202208,2022,8,0.747,203407842,203407842,833288,1605470,1557,1115522,1009,833294.934,787,1.9266527786,1.9783989835,1605470,24085660.37,1627,10.9439881144,0.7799801784
202209,2022,9,0.736,193644786.3,196393619,826818,1581413,1553,1115624,1009,821099.264,793,1.8990136096,1.9583858764,1559278.67716,22830100.977,1613,10.9108304625,0.7859266601
202210,2022,10,0.73,214981670.34,217429227,822018,1685163,1635,1120651,1009,818075.23,778,2.0367240092,2.1015424165,1666193.46228,24638553.2932,1705,11.3012453241,0.7710604559
202211,2022,11,0.741,193751655,193751655,830454,1639557,1596,1120682,1009,830425.362,786,1.9743580519,2.0305343511,1639557,22881874.71,1669,10.8526839031,0.7789890981
202212,2022,12,0.759,211527207,211527207,850215,1726428,1689,1120589,1008,850527.051,804,2.0298331464,2.1007462687,1726428,24190745.99,1770,10.7472488469,0.7976190476
202301,2023,1,0.748,199159236,199159236,842586,1722817,1654,1126072,1009,842301.856,788,2.0453676882,2.0989847716,1722817,23229189.08,1721,10.2900628013,0.7809712587
202302,2023,2,0.738,184572541.75,180668730,822631,1514717,1463,1126002,1009,830989.476,781,1.8621732215,1.8732394366,1547446.34958,22266576.2985,1518,11.5129489395,0.7740336967
202303,2023,3,0.745,206932896,206932896,838422,1673973,1628,1125999,1009,838869.255,795,1.9955112075,2.0477987421,1673973,23921099.22,1692,11.5504285437,0.7879088206
202304,2023,4,0.756,198339460,198339460,855733,1713202,1654,1131467,1008,855389.052,800,2.0028336767,2.0675,1713202,23126584.75,1728,10.9262329025,0.7936507937
202305,2023,5,0.766,214299594,214299594,866526,1815286,1703,1131516,1009,866741.256,811,2.0943805172,2.0998766954,1815286,25841620.82,1789,11.0224379643,0.8037661051
202306,2023,6,0.761,201189387,201189387,861238,1748239,1663,1131550,1009,861109.55,807,2.0302167128,2.0607187113,1748239,24338958,1741,10.5037247958,0.7998017839
202307,2023,7,0.756,222189796,222189796,859340,1885929,1806,1136806,1009,859425.336,811,2.1944070311,2.2268803946,1885929,26898504.6,1886,10.706417919,0.8037661051
202308,2023,8,0.755,211439657,211439657,858667,1719462,1694,1136836,1009,858311.18,812,2.0033084038,2.0862068966,1719462,24955241.99,1755,11.9331644026,0.8047571853
202309,2023,9,0.773,221215997,221215997,878461,1906016,1824,1136895,1009,878819.835,817,2.1688358911,2.2325581395,1906016,25547434.22,1899,10.4528969789,0.8097125867
202310,2023,10,0.758,204846620,204846620,865394,1686832,1622,1142397,1009,865936.926,811,1.9479848351,2,1686832,23715590.86,1704,11.3675036309,0.8037661051
